Date,Views,Watch time (hours),Average view duration
2023-02-05,8,1.3258,0:09:56
2023-02-04,9,0.4625,0:03:05
2023-02-03,13,0.947,0:04:22
2023-02-02,11,0.6434,0:03:30
2023-02-01,4,0.3288,0:04:55
2023-01-31,10,0.5918,0:03:33
2023-01-30,15,0.4979,0:01:59
2023-01-29,17,0.6497,0:02:17
2023-01-28,20,1.6833,0:05:02
2023-01-27,25,1.1403,0:02:44
2023-01-26,16,0.3937,0:01:28
2023-01-25,25,1.3563,0:03:15
2023-01-24,22,0.8821,0:02:24
2023-01-23,37,0.4973,0:00:48
2023-01-22,17,1.0793,0:03:48
2023-01-21,5,0.2562,0:03:04
2023-01-20,44,2.1371,0:02:54
2023-01-19,30,1.1478,0:02:17
2023-01-18,13,0.9091,0:04:11
2023-01-17,23,2.6413,0:06:53
2023-01-16,16,0.671,0:02:30
2023-01-15,18,1.173,0:03:54
2023-01-14,21,0.7623,0:02:10
2023-01-13,16,1.4797,0:05:32
2023-01-12,14,0.5435,0:02:19
2023-01-11,11,0.8395,0:04:34
2023-01-10,6,0.094,0:00:56
2023-01-09,5,0.1545,0:01:51
2023-01-08,5,0.0165,0:00:11
2023-01-07,23,1.0997,0:02:52
2023-01-06,7,0.0478,0:00:24
2023-01-05,24,1.0658,0:02:39
2023-01-04,5,0.5149,0:06:10
2023-01-03,29,1.7787,0:03:40
2023-01-02,19,1.6123,0:05:05
2023-01-01,20,1.114,0:03:20
