Date,Views,Watch time (hours)
2021-12-30,6.0,0.046
2021-12-29,35.0,2.3054
2021-12-28,15.0,1.0014
2021-12-27,34.0,2.906
2021-12-26,29.0,2.621
2021-12-25,59.0,3.8631
2021-12-24,44.0,3.2937
2021-12-23,33.0,2.1944
2021-12-22,77.0,3.1669
2021-12-21,70.0,4.8645
2021-12-20,58.0,4.018
2021-12-19,66.0,2.5042
2021-12-18,37.0,1.2197
2021-12-17,92.0,3.9786
2021-12-16,78.0,4.3215
2021-12-15,32.0,1.6337
2021-12-14,120.0,4.3869
2021-12-13,33.0,1.9958
2021-12-12,33.0,1.8857
2021-12-11,67.0,5.5655
2021-12-10,62.0,2.4921
2021-12-09,38.0,1.4384
2021-12-08,15.0,1.1085
2021-12-07,24.0,0.6035
2021-12-06,58.0,5.3075
2021-12-05,56.0,2.4265
2021-12-04,44.0,0.5151
2021-12-03,43.0,3.4017
2021-12-02,32.0,1.6786
2021-12-01,44.0,1.6746
2021-11-30,57.0,3.0234
2021-11-29,42.0,2.6558
2021-11-28,48.0,1.5179
2021-11-27,35.0,1.0212
2021-11-26,20.0,0.8117
2021-11-25,45.0,1.724
2021-11-24,37.0,2.0607
2021-11-23,16.0,0.2567
2021-11-22,54.0,2.059
2021-11-21,34.0,1.6292
2021-11-20,54.0,2.6417
2021-11-19,34.0,2.8748
2021-11-18,49.0,2.6717
2021-11-17,45.0,2.7599
2021-11-16,22.0,0.8887
2021-11-15,36.0,1.4867
2021-11-14,29.0,1.5753
2021-11-13,31.0,3.3859
2021-11-12,28.0,0.4342
2021-11-11,25.0,1.2301
2021-11-10,98.0,6.4444
2021-11-09,31.0,1.7185
2021-11-08,21.0,0.5453
2021-11-07,25.0,0.8114
2021-11-06,53.0,2.916
2021-11-05,28.0,1.0882
2021-11-04,45.0,2.222
2021-11-03,36.0,1.6153
2021-11-02,88.0,5.4202
2021-11-01,44.0,2.6682
2021-10-31,44.0,0.8077
2021-10-30,94.0,5.7778
2021-10-29,53.0,3.5677
2021-10-28,47.0,2.1837
2021-10-27,48.0,3.1629
2021-10-26,26.0,1.0291
2021-10-25,14.0,0.2984
2021-10-24,30.0,1.2769
2021-10-23,26.0,1.8661
2021-10-22,42.0,2.9074
2021-10-21,56.0,3.5433
2021-10-20,15.0,0.8739
2021-10-19,29.0,0.7466
2021-10-18,17.0,0.4749
2021-10-17,59.0,1.7555
2021-10-16,26.0,2.2614
2021-10-15,24.0,0.9298
2021-10-14,59.0,2.6227
2021-10-13,62.0,2.6139
2021-10-12,49.0,2.7435
2021-10-11,43.0,3.7038
2021-10-10,39.0,1.7164
2021-10-09,38.0,2.2345
2021-10-08,25.0,1.9067
2021-10-07,25.0,1.6732
2021-10-06,39.0,4.9072
2021-10-05,83.0,3.4447
2021-10-04,55.0,2.4316
2021-10-03,67.0,3.1503
2021-10-02,35.0,1.3653
2021-10-01,25.0,1.2522
2021-09-30,85.0,3.0526
2021-09-29,71.0,4.3987
2021-09-28,43.0,1.559
2021-09-27,57.0,3.5937
2021-09-26,33.0,2.0802
2021-09-25,47.0,4.3829
2021-09-24,53.0,2.0368
2021-09-23,27.0,0.7019
2021-09-22,96.0,3.9517
2021-09-21,57.0,2.6609
2021-09-20,59.0,2.5935
2021-09-19,67.0,4.3551
2021-09-18,111.0,4.3194
2021-09-17,54.0,3.0776
2021-09-16,71.0,2.8944
2021-09-15,71.0,4.512
2021-09-14,75.0,4.1968
2021-09-13,59.0,3.3238
2021-09-12,136.0,4.0377
2021-09-11,40.0,2.9483
2021-09-10,86.0,4.8973
2021-09-09,87.0,5.444
2021-09-08,78.0,3.3032
2021-09-07,73.0,3.2409
2021-09-06,41.0,2.843
2021-09-05,54.0,2.6961
2021-09-04,29.0,0.9401
2021-09-03,85.0,2.6662
2021-09-02,60.0,3.6006
2021-09-01,34.0,1.0477
2021-08-31,63.0,2.798
2021-08-30,39.0,1.2511
2021-08-29,41.0,2.1121
2021-08-28,48.0,0.8086
2021-08-27,30.0,0.8075
2021-08-26,28.0,1.5625
2021-08-25,41.0,1.1022
2021-08-24,35.0,1.4286
2021-08-23,51.0,1.8506
2021-08-22,62.0,1.4173
2021-08-21,52.0,2.1781
2021-08-20,66.0,1.914
2021-08-19,108.0,4.9883
2021-08-18,28.0,0.9391
2021-08-17,55.0,4.4452
2021-08-16,125.0,4.4347
2021-08-15,91.0,4.3962
2021-08-14,53.0,2.6414
2021-08-13,66.0,3.8882
2021-08-12,110.0,7.2493
2021-08-11,91.0,6.2646
2021-08-10,88.0,7.8651
2021-08-09,87.0,5.0999
2021-08-08,90.0,8.304
2021-08-07,95.0,8.9696
2021-08-06,101.0,9.6789
2021-08-05,99.0,7.9278
2021-08-04,90.0,6.4299
2021-08-03,94.0,7.609
2021-08-02,107.0,7.1053
2021-08-01,82.0,6.0473
2021-07-31,151.0,11.8315
2021-07-30,59.0,3.7975
2021-07-29,122.0,7.3969
2021-07-28,137.0,11.7071
2021-07-27,153.0,12.14
2021-07-26,107.0,8.6694
2021-07-25,116.0,7.7127
2021-07-24,88.0,6.2236
2021-07-23,88.0,5.728
2021-07-22,57.0,4.2463
